Name,Source,UID
!BugGrabber,packaged-with,BugSack
acb_Auras,wowi,8437
acb_Battleground,packaged-with,acb_Auras
acb_CastBar,packaged-with,AzCastBar
acb_Cooldowns,packaged-with,acb_Auras
acb_FlightTimes,packaged-with,acb_Auras
acb_GlobalCooldown,packaged-with,acb_Auras
acb_LootRoll,packaged-with,acb_Auras
acb_Mirror,packaged-with,AzCastBar
acb_Shaman,packaged-with,acb_Auras
acb_Swing,packaged-with,acb_Auras
acb_Threat,packaged-with,acb_Auras
acb_Totems,packaged-with,acb_Auras
Ace3,svn,svn://svn.wowace.com/wow/ace3/mainline/trunk
AckisRecipeList,wowace,arl
AddonLoader,wowi,11476
Ampere,wowi,8530
Ara_Broker_Tradeskills,wowi,12108
Auctionator,curseforge,auctionator
AutoText,svn,svn://quaiche@svn.curseforge.net/wow/autotext/mainline/trunk
AzCastBar,wowi,7458
AzCastBarOptions,packaged-with,AzCastBar
Bagnon_Forever,packaged-with,Combuctor
BagSync,curseforge,bagsync
BankStack,wowi,7761
BasicChatMods,wowi,11290
BigWigs,wowace,big-wigs
BigWigs_Baradin,packaged-with,BigWigs
BigWigs_Bastion,packaged-with,BigWigs
BigWigs_Blackwing,packaged-with,BigWigs
BigWigs_Core,packaged-with,BigWigs
BigWigs_DragonSoul,packaged-with,BigWigs
BigWigs_Firelands,packaged-with,BigWigs
BigWigs_Foreign,packaged-with,BigWigs
BigWigs_Options,packaged-with,BigWigs
BigWigs_Plugins,packaged-with,BigWigs
BigWigs_Throne,packaged-with,BigWigs
Bimbo,git,git://github.com/tekkub/bimbo.git
Broker_Bags,git,git@github.com:PProvost/Broker_Bags.git
Broker_CombatLogToggle,git,git@github.com:PProvost/broker_combatlogtoggle.git
Broker_Group,wowi,10702
Broker_Mail,wowace,broker_mail
Broker_Recount,wowace,broker_recount
Broker_uClock,wowace,broker-uclock
Buffet,wowi,8370
BugSack,wowi,5995
ClosetGnome,wowace,closet-gnome
Combuctor,wowi,8113
Combuctor_Config,packaged-with,Combuctor
Combuctor_Sets,packaged-with,Combuctor
ControlFreak,git,git://github.com/tekkub/controlfreak.git
Cork,git,git://github.com/tekkub/cork.git
Cromulent,wowace,cromulent
Crossdresser,git,git://github.com/tekkub/Crossdresser.git
Dominos,wowi,9085
Dominos_Cast,packaged-with,Dominos
Dominos_Config,packaged-with,Dominos
Dominos_Roll,packaged-with,Dominos
Dominos_Totems,packaged-with,Dominos
Dominos_XP,packaged-with,Dominos
epgp_lootmaster,curseforge,epgp_lootmaster
epgp_lootmaster_ml,packaged-with,epgp_lootmaster
FishermansFriend,wowace,fishermans-friend
FriendsWithBenefits,wowi,6931
ForSaleByOwner,git,git://github.com/tekkub/forsalebyowner.git
GatherMate_Sharing,wowace,gathermate_sharing
GatherMate2,wowace,gathermate2
GatherMate2_Data,wowace,gathermate2_data
GnomishAuctionShrinker,git,git://github.com/tekkub/gnomishauctionshrinker.git
GnomishVendorShrinker,git,git://github.com/tekkub/GnomishVendorShrinker.git
GuildRosterDump,git,git@github.com:PProvost/GuildRosterDump.git
HatTrick,wowi,6958
idQuestAutomation,git,git://github.com/Industrial/idQuestAutomation.git
InlineAura,wowace,inline-aura
InlineAura_Config,packaged-with,InlineAura
InlineAura_Defaults,packaged-with,InlineAura
Kennel,wowi,4442
LittleWigs,wowace,little-wigs
LittleWigs_BRC,packaged-with,little-wigs
LittleWigs_Deadmines,packaged-with,little-wigs
LittleWigs_EndTime,packaged-with,little-wigs
LittleWigs_GrimBatol,packaged-with,little-wigs
LittleWigs_HourOfTwilight,packaged-with,little-wigs
LittleWigs_LostCity,packaged-with,little-wigs
LittleWigs_Origination,packaged-with,little-wigs
LittleWigs_Shadowfang,packaged-with,little-wigs
LittleWigs_Stonecore,packaged-with,little-wigs
LittleWigs_ThroneTides,packaged-with,little-wigs
LittleWigs_VortexPinnacle,packaged-with,little-wigs
LittleWigs_WellOfEternity,packaged-with,little-wigs
LittleWigs_ZulAman,packaged-with,little-wigs
LittleWigs_ZulGurub,packaged-with,little-wigs
LoggerHead,wowace,loggerhead
Mapster,wowace,mapster
Masque,wowace,masque
Masque,wowace,masque_caith
MediumRare,git,git://github.com/tekkub/MediumRare.git
MikScrollingBattleText,wowi,5153
MobNotes,wowi,8314
MSBTOptions,packaged-with,MolScrollingBattleText
MultiShot,curseforge,multishot
MySales,wowace,mysales
NinjaPanel,wowi,11884
oGlow,git,http://github.com/haste/oGlow.git
Omen,wowi,8459
OmniCC,wowi,4836
OmniCC_Config,packaged-with,OmniCC
oRA3,wowace,ora3
oUF,git,git://github.com/haste/oUF.git
oUF_Quaiche,git,git@github.com:PProvost/ouf_quaiche.git
Ovale,curseforge,ovale
Panda,wowi,8633
Pawn,curseforge,pawn
ReforgedTooltip,wowace,reforgedtooltip
picoEXP,wowi,10259
picoFriends,wowi,9220
picoGuild,git,git://github.com/tekkub/picoguild.git
Postal,wowace,postal
QLayout,git,git@github.com:PProvost/QLayout.git
RaidBuffStatus,wowace,raidbuffstatus
RatingBuster,wowace,rating-buster
Recount,wowace,recount
SatrinaBuffFrame,skip,wowi-7876
SBFOptions,packaged-with,SatrinaBuffFrame
SharedMedia,wowace,sharedmedia
ShortMacros,curseforge,shortmacros
SimpleGroupTell,git,git@github.com:PProvost/SimpleGroupTell.git
SimpleMarker,git,git@github.com:PProvost/simplemarker.git
SimpleRepair,git,git@github.com:PProvost/SimpleRepair.git
SimpleTankFrames,wowace,simpletankframes
SimpleTellTarget,git,git@github.com:PProvost/SimpleTellTarget.git
Skillet,wowace,skillet
